1919.500000000	0.00	0.29
1919.583333000	-0.07	0.30
1919.666667000	-0.10	0.20
1919.750000000	-0.16	-0.11
1919.833333000	-0.22	-0.23
1919.916667000	-0.23	-0.01
1920.000000000	-0.22	0.15
1920.083333000	-0.21	0.17
1920.166667000	-0.17	0.13
1920.250000000	-0.15	0.03
1920.333333000	-0.18	0.08
1920.416667000	-0.23	0.22
1920.500000000	-0.31	0.27
1920.583333000	-0.43	0.24
1920.666667000	-0.44	0.32
1920.750000000	-0.35	0.33
1920.833333000	-0.35	0.00
1920.916667000	-0.38	-0.24
1921.000000000	-0.30	-0.26
1921.083333000	-0.23	-0.51
1921.166667000	-0.25	-0.66
1921.250000000	-0.22	-0.54
1921.333333000	-0.15	-0.52
1921.416667000	-0.14	-0.48
1921.500000000	-0.19	-0.26
1921.583333000	-0.20	-0.12
1921.666667000	-0.11	-0.12
1921.750000000	0.00	-0.21
1921.833333000	0.04	-0.29
1921.916667000	0.03	-0.24
1922.000000000	0.00	-0.16
1922.083333000	-0.03	-0.01
1922.166667000	-0.06	0.00
1922.250000000	-0.04	-0.10
1922.333333000	0.01	-0.11
1922.416667000	0.01	-0.12
1922.500000000	-0.06	-0.11
1922.583333000	-0.14	-0.16
1922.666667000	-0.17	-0.25
1922.750000000	-0.11	-0.25
1922.833333000	-0.08	-0.28
1922.916667000	-0.10	-0.36
1923.000000000	-0.06	-0.32
1923.083333000	0.03	-0.24
1923.166667000	0.04	-0.13
1923.250000000	-0.04	-0.03
1923.333333000	-0.06	-0.07
1923.416667000	0.02	-0.17
1923.500000000	0.07	-0.15
1923.583333000	0.07	0.05
1923.666667000	0.03	0.31
1923.750000000	-0.04	0.51
1923.833333000	-0.06	0.57
1923.916667000	-0.07	0.45
1924.000000000	-0.09	0.29
1924.083333000	-0.10	0.26
1924.166667000	-0.15	0.23
1924.250000000	-0.19	-0.01
1924.333333000	-0.15	-0.26
1924.416667000	-0.12	-0.30
1924.500000000	-0.07	-0.38
1924.583333000	0.03	-0.53
1924.666667000	0.03	-0.57
1924.750000000	-0.11	-0.66
1924.833333000	-0.29	-0.69
1924.916667000	-0.37	-0.65
1925.000000000	-0.30	-0.76
1925.083333000	-0.20	-0.78
1925.166667000	-0.16	-0.63
1925.250000000	-0.19	-0.47
1925.333333000	-0.25	-0.42
1925.416667000	-0.19	-0.32
1925.500000000	0.11	0.01
1925.583333000	0.41	0.29
1925.666667000	0.47	0.40
1925.750000000	0.45	0.51
1925.833333000	0.54	0.69
1925.916667000	0.68	0.77
1926.000000000	0.83	0.74
1926.083333000	0.92	0.75
1926.166667000	0.87	0.71
1926.250000000	0.80	0.60
1926.333333000	0.80	0.55
1926.416667000	0.72	0.48
1926.500000000	0.55	0.34
1926.583333000	0.48	0.24
1926.666667000	0.49	0.09
1926.750000000	0.45	-0.16
1926.833333000	0.37	-0.31
1926.916667000	0.30	-0.21
1927.000000000	0.30	-0.01
1927.083333000	0.33	0.02
1927.166667000	0.30	-0.09
1927.250000000	0.22	-0.17
1927.333333000	0.18	-0.24
1927.416667000	0.18	-0.20
1927.500000000	0.13	-0.05
1927.583333000	0.05	0.01
1927.666667000	0.03	0.01
1927.750000000	0.10	0.00
1927.833333000	0.15	0.04
1927.916667000	0.17	0.20
1928.000000000	0.18	0.33
1928.083333000	0.14	0.26
1928.166667000	0.08	0.14
1928.250000000	0.06	0.11
1928.333333000	0.16	0.11
1928.416667000	0.30	0.04
1928.500000000	0.38	-0.02
1928.583333000	0.42	-0.02
1928.666667000	0.42	-0.06
1928.750000000	0.29	-0.07
1928.833333000	0.17	-0.09
1928.916667000	0.14	-0.21
1929.000000000	0.09	-0.25
1929.083333000	0.02	-0.16
1929.166667000	0.02	-0.09
1929.250000000	0.08	-0.10
1929.333333000	0.16	-0.08
1929.416667000	0.18	0.06
1929.500000000	0.18	0.16
1929.583333000	0.25	0.14
1929.666667000	0.36	0.15
1929.750000000	0.43	0.20
1929.833333000	0.48	0.30
1929.916667000	0.54	0.46
1930.000000000	0.66	0.54
1930.083333000	0.74	0.54
1930.166667000	0.67	0.52
1930.250000000	0.56	0.38
1930.333333000	0.44	0.18
1930.416667000	0.26	0.20
1930.500000000	0.09	0.31
1930.583333000	0.07	0.39
1930.666667000	0.23	0.54
1930.750000000	0.43	0.69
1930.833333000	0.55	0.78
1930.916667000	0.56	0.75
1931.000000000	0.56	0.80
1931.083333000	0.64	0.83
1931.166667000	0.66	0.64
1931.250000000	0.58	0.53
1931.333333000	0.51	0.56
1931.416667000	0.43	0.57
1931.500000000	0.30	0.49
1931.583333000	0.24	0.28
1931.666667000	0.29	-0.04
1931.750000000	0.33	-0.14
1931.833333000	0.31	-0.10
1931.916667000	0.29	-0.20
1932.000000000	0.28	-0.29
1932.083333000	0.21	-0.17
1932.166667000	0.13	0.01
1932.250000000	0.11	0.02
1932.333333000	0.11	-0.01
1932.416667000	0.06	-0.10
1932.500000000	-0.08	-0.18
1932.583333000	-0.22	-0.09
1932.666667000	-0.27	0.00
1932.750000000	-0.30	0.01
1932.833333000	-0.32	-0.08
1932.916667000	-0.22	-0.17
1933.000000000	-0.11	-0.13
1933.083333000	-0.09	-0.12
1933.166667000	-0.14	-0.13
1933.250000000	-0.11	-0.18
1933.333333000	-0.03	-0.41
1933.416667000	-0.06	-0.58
1933.500000000	-0.26	-0.58
1933.583333000	-0.50	-0.64
1933.666667000	-0.59	-0.81
1933.750000000	-0.51	-0.92
1933.833333000	-0.40	-0.90
1933.916667000	-0.34	-0.95
