ForcingN	ModelN		ForcingT	ModelT
0.08365796	0.49436108		0.080823607	0.33878515
0.09457235	0.00950982		0.092575851	0.477713829
0.09442453	-0.24863538		0.092407949	0.562592746
0.09426461	-0.24318045		0.092192501	0.567671683
0.09416444	-0.18209531		0.092020424	0.578378893
0.09411985	-0.06836692		0.091906953	0.629438326
0.09411145	0.00288159		0.091851272	0.69429495
0.09414928	-0.01938977		0.09248973	0.738856619
0.09412431	-0.10221707		0.092493149	0.730243052
0.09405065	-0.16484510		0.092475921	0.678381896
0.09391691	-0.16654641		0.092414953	0.630868103
0.09372759	-0.16804432		0.092295376	0.612774427
0.09350208	-0.19715751		0.092118009	0.522013056
-0.02348320	-0.23302959		-0.021171509	0.265434067
-0.02391489	-0.30301622		-0.021555101	0.018210553
-0.02375814	-0.34149165		-0.021342649	-0.062399458
-0.02365799	-0.27269134		-0.021170588	-0.042859373
-0.02361340	-0.15477283		-0.021057117	0.009479416
-0.02360500	-0.08559389		-0.021001436	0.064414569
-0.02361890	-0.11330630		-0.021236224	0.085581559
-0.02359380	-0.19852304		-0.02123745	0.057040395
-0.02352013	-0.25805478		-0.021220211	-0.001254371
-0.02338639	-0.24880100		-0.021159242	-0.050155834
-0.02319708	-0.16716225		-0.021039666	-0.077312302
-0.02297157	-0.14851826		-0.020862299	-0.167265264
0.15786928	-0.21723283		0.156048901	-0.407707611
0.15864984	-0.22720928		0.156778051	-0.668549692
0.15849500	-0.23108364		0.156567475	-0.765116186
0.15839486	-0.20073465		0.156395424	-0.712514998
0.15835027	-0.09229238		0.156281953	-0.612031957
0.15834187	-0.02494263		0.156226273	-0.526544255
0.15833484	-0.05284080		0.156107648	-0.49149112
0.15830963	-0.14187572		0.156106955	-0.515412464
0.15823596	-0.21482567		0.156089705	-0.567194432
0.15810222	-0.23292104		0.156028737	-0.598271751
0.15791291	-0.24031632		0.15590916	-0.582611993
0.15768740	-0.21307926		0.155731793	-0.502519828
-0.01182492	-0.18786080		-0.014002076	-0.400110019
-0.01254359	-0.27190103		-0.014692243	-0.37300504
-0.01238841	-0.31505127		-0.014481455	-0.384750345
-0.01228827	-0.22427394		-0.014309403	-0.333386064
-0.01224368	-0.10052637		-0.014195932	-0.233624437
-0.01223528	-0.02913886		-0.014140252	-0.147724368
-0.01222864	-0.05328439		-0.01405233	-0.113605584
-0.01220342	-0.12845517		-0.014051804	-0.139168606
-0.01212976	-0.16807356		-0.014034555	-0.191318715
-0.01199602	-0.12917154		-0.013973587	-0.22137157
-0.01180670	-0.04331161		-0.01385401	-0.204423576
-0.01158119	-0.12639623		-0.013676643	-0.197282622
0.10784951	-0.40250958		0.100821689	-0.293070446
0.10829456	-0.55642605		0.101211846	-0.436145903
0.10813788	-0.55371383		0.100999429	-0.485053113
0.10803773	-0.48357686		0.100827369	-0.421264956
0.10799314	-0.36506380		0.100713898	-0.314289158
0.10798474	-0.29473606		0.100658217	-0.207701547
0.10795902	-0.31920438		0.100223173	-0.126934823
0.10793370	-0.39649434		0.100220762	-0.110824315
0.10786004	-0.44296588		0.100203503	-0.149932084
0.10772630	-0.41749828		0.100142534	-0.178240125
0.10753698	-0.37463974		0.100022957	-0.163192286
0.10731147	-0.33709411		0.09984559	-0.052374197
0.02453019	-0.39709308		0.019895052	0.122888977
0.02387047	-0.61403206		0.019229072	0.141552091
0.02370775	-0.74199073		0.019010918	-0.006471032
0.02360757	-0.68775356		0.018838827	-0.111287209
0.02356298	-0.58065790		0.018725355	-0.12431299
0.02355458	-0.50826163		0.018669675	-0.049895793
0.02359525	-0.52876901		0.019381346	0.111296187
0.02357029	-0.62031545		0.019385162	0.220640178
0.02349663	-0.70436215		0.019367937	0.198913248
0.02336289	-0.73607700		0.019306969	0.128688795
0.02317357	-0.73131816		0.019187392	0.062546828
0.02294807	-0.49350717		0.019010025	0.078982522
0.05811137	-0.11946917		0.051923401	0.246510136
0.05809603	-0.07872168		0.051870435	0.399475553
0.05793684	-0.18644869		0.051655611	0.411085518
0.05783667	-0.13858092		0.051483537	0.389960717
0.05779208	-0.02907654		0.051370066	0.412758506
0.05778368	0.03704106		0.051314386	0.426905418
0.05775528	0.00538575		0.050848223	0.374248563
0.05772995	-0.08621503		0.050845643	0.281532283
0.05765629	-0.16158081		0.050828383	0.20076074
0.05752255	-0.18529023		0.050767414	0.142145435
0.05733323	-0.20365171		0.050647838	0.093820011
0.05710772	-0.25584122		0.050470471	0.147738882
0.16737071	-0.34493673		0.167125602	0.382016947
0.16776567	-0.44458700		0.167527475	0.597546178
0.16760873	-0.45894754		0.167315122	0.670560399
0.16750857	-0.36455062		0.167143061	0.730357627
0.16746398	-0.23992464		0.16702959	0.82180634
0.16745558	-0.17058953		0.166973909	0.878958197
0.16748067	-0.19560219		0.167419566	0.863420208
0.16745563	-0.26590588		0.167421938	0.799770902
0.16738197	-0.29531679		0.167404705	0.73773643
0.16724823	-0.24266754		0.167343737	0.708703405
0.16705891	-0.19112881		0.16722416	0.714605438
0.16683340	-0.16278518		0.167046793	0.695562776
0.00570416	-0.03405167		0.006059915	0.546925194
0.00461639	0.11010328		0.004953791	0.282252897
0.00445134	0.15899061		0.004733247	0.073595521
0.00435114	0.23499382		0.004561142	0.013089609
0.00430655	0.36169696		0.004447671	0.041521596
0.00429815	0.43476070		0.00439199	0.079518613
0.00428865	0.41332935		0.004230151	0.074620276
0.00426342	0.34403230		0.004229224	0.022040447
0.00418976	0.31455959		0.004211973	-0.044627195
0.00405602	0.36553321		0.004151004	-0.097041712
0.00386670	0.44856682		0.004031428	-0.136768046
0.00364119	0.41452657		0.003854061	-0.208741474
0.14925367	0.23433396		0.154745948	-0.342800867
0.14984176	0.09497329		0.155333776	-0.476042784
0.14968587	0.08308568		0.155122432	-0.522149828
0.14958572	0.16410052		0.154950377	-0.476182189
0.14954113	0.28523250		0.154836906	-0.388113495
0.14953273	0.35628810		0.154781226	-0.305647157
0.14951172	0.33078539		0.154423099	-0.266013439
0.14948643	0.25003772		0.154421106	-0.285943209
0.14941277	0.19768407		0.154403849	-0.339363913
0.14927903	0.21339441		0.15434288	-0.378518057
0.14908971	0.24611520		0.154223304	-0.382008894
0.14886420	0.13556686		0.154045936	-0.337481684
0.06246419	-0.07221928		0.059104902	-0.231496933
